SHOW,TYPE,NAME
THE PEGGY LEE SHOW,Announcer,Ken Niles
THE PENNY SINGLETON SHOW,Star,Bea Benaderet
THE PENNY SINGLETON SHOW,Star,Gale Gordon
THE PENNY SINGLETON SHOW,Star,Jim Backus
THE PENNY SINGLETON SHOW,Star,Mary Lee Robb
THE PENNY SINGLETON SHOW,Star,Penny Singleton
THE PENNY SINGLETON SHOW,Star,Sheilah James
THE PETER DONALD SHOW,Announcer,Dennis James
THE PETER DONALD SHOW,Host,Peter Donald
THE PHIL HARRIS - ALICE FAYE SHOW,Star,Alice Faye
THE PHIL HARRIS - ALICE FAYE SHOW,Star,Anne Whitfield
THE PHIL HARRIS - ALICE FAYE SHOW,Star,Elliott Lewis
THE PHIL HARRIS - ALICE FAYE SHOW,Star,Jeanine Rose
THE PHIL HARRIS - ALICE FAYE SHOW,Star,Phil Harris
THE PHIL HARRIS - ALICE FAYE SHOW,Star,Walter Tetley
THE PHIL HARRIS - ALICE FAYE SHOW,Announcer,Bill Forman
THE PRICE OF SILENCE,Star,Alan Tilvern
THE PRICE OF SILENCE,Star,George Coulouris
THE PRICE OF SILENCE,Star,Ian Hendry
THE PRICE OF SILENCE,Star,Paul Hardwick
THE PRICE OF SILENCE,Star,Toby Robins
THE PRIVATE LIFE OF ROCHESTER VAN JONES,Star,Eddie Anderson
THE PRIVATE PRACTICE OF DR DANA,Star,Jeff Chandler
THE QUICK AND THE DEAD,Host,Bob Hope
THE QUIZ KIDS,Host,Joe Kelly
THE RADIO EDITION OF THE BIBLE,Star,Alexander Scourby
THE RADIO EDITION OF THE BIBLE,Star,Arthur Vinton
THE RADIO EDITION OF THE BIBLE,Star,Bud Collyer
THE RADIO EDITION OF THE BIBLE,Star,John Merlin
THE RADIO EDITION OF THE BIBLE,Announcer,Ray Morgan
THE RADIO EDITION OF THE BIBLE,Star,Sidney Slon
THE RADIO HALL OF FAME,Host,Deems Taylor
THE RADIO HALL OF FAME,Announcer,Glenn Riggs
THE RANSOM SHERMAN SHOW,Star,Gordon Jenkins' Orchestra
THE RANSOM SHERMAN SHOW,Star,Martha Tilton
THE RANSOM SHERMAN SHOW,Star,Ransom Sherman
THE RAY BOLGER SHOW,Announcer,Howard Petrie
THE RAY BOLGER SHOW,Star,Ray Bolger
THE RED NICHOLS SHOW,Star,Del Sharbutt
THE RED NICHOLS SHOW,Star,Dotty O'brian
THE RED NICHOLS SHOW,Star,Red Nichols And The Five Pennys
THE REVUERS,Star,Adolphe Green
THE REVUERS,Star,Betty Comden
THE REVUERS,Announcer,Milton Cross
THE ROAD TO DANGER,Star,Clarence Hartzell
THE ROAD TO DANGER,Star,Curley Bradley
THE ROMA WINE SHOW,Star,Bea Benaderet
THE ROMA WINE SHOW,Star,Charles Ruggles
THE ROMA WINE SHOW,Announcer,Frank Martin
THE ROMA WINE SHOW,Star,Mary Astor
THE ROMA WINE SHOW,Star,Misha Ayer
THE ROSEMARY CLOONEY SHOW,Announcer,Johnny Jacobs
THE ROSEMARY CLOONEY SHOW,Star,Rosemary Clooney
THE ROY ROGERS SHOW,Announcer,Art Balinger
THE ROY ROGERS SHOW,Star,Bob Nolan
THE ROY ROGERS SHOW,Star,Pat Friday
THE ROY ROGERS SHOW,Star,Roy Rogers
THE RUGGLES,Star,Charlie Ruggles
THE RUGGLES,Star,Hanley Stafford
THE RUGGLES,Star,Olan Soule
THE RUGGLES,Announcer,Roy Rowan
THE SAD SACK,Announcer,Dick Joy
THE SAD SACK,Star,Herb Vigran
THE SAD SACK,Star,Jim Backus
THE SAD SACK,Star,Ken Christy
THE SAD SACK,Star,Patsy Moran
THE SAD SACK,Star,Sandra Gould
THE SAINT,Star,Vincent Price
THE SATURDAY NIGHT BOND WAGON,Host,Larry Elliott
THE SEALED BOOK,Host,Phillip Clarke
THE SHADOW,Star,Bill Johnstone
THE SHADOW,Star,Bret Morrison
THE SHADOW,Star,Frank Readick Jr.
THE SHADOW,Star,Gertrude Warner
THE SHADOW,Star,John Archer
THE SHADOW,Announcer,Ken Roberts
THE SHADOW,Star,Laura Mae Carpenter
THE SHADOW,Star,Marion Sharkley
THE SHADOW,Star,Marjorie Anderson
THE SHADOW,Star,Steve Courtleigh
THE SHEILA GRAHAM SHOW,Announcer,Don Mccall
THE SHEILA GRAHAM SHOW,Star,Sheila Graham
THE SHOW GOES ON,Announcer,Art Hannes
THE SHOW GOES ON,Host,Robert Q. Lewis
THE SIGNAL CARNIVAL,Star,Jack Carson
THE SIGNAL CARNIVAL,Host,Johnny Frasier
THE SIGNAL CARNIVAL,Star,Kay St. Germain
THE SIGNAL CARNIVAL,Star,Vera Vague
THE SILVER EAGLE,Announcer,Bill O'connor
THE SIX SHOOTER,Star,James Stewart
THE SMITHS OF HOLLYWOOD,Star,Arthur Treacher
THE SMITHS OF HOLLYWOOD,Star,Brenda Marshall
THE SMITHS OF HOLLYWOOD,Star,Harry Von Zell
THE SMITHS OF HOLLYWOOD,Star,Jan Ford
THE SMITHS OF HOLLYWOOD,Announcer,Tyler Mc Vey
THE SOFT SONGS PROGRAM,Star,Evelyn Case
THE SPIKE JONES SHOW,Star,Doodles Weaver
THE SPIKE JONES SHOW,Star,Spike Jones
THE SPIKE JONES SHOW,Star,The City Slickers
THE STAN KENTON SHOW,Announcer,Hy Averback
THE STAR AND THE STORY,Host,Walter Pidgeon
THE STEVE ALLEN SHOW,Host,Steve Allen
THE STORY OF AUNT MARY,Star,Douglas Mead
THE STORY OF AUNT MARY,Star,Fred Howard
THE STORY OF AUNT MARY,Star,Jane Morgan
THE STORY OF AUNT MARY,Star,Jane Webb
THE STORY OF AUNT MARY,Star,Patrick McGeehan
THE STORY OF BUD BARTON,Star,Dick Holland
THE STORY OF DR KILDARE,Star,Lew Ayres
THE STORY OF DR KILDARE,Star,Lionel Barrymore
THE STRANGE DR. WEIRD,Star,Maurice Tarplin
THE TEX AND JINX SHOW,Star,Jinx Falkenburg
THE TEX AND JINX SHOW,Star,Tex Mccrary
THE THREE SUNS SHOW,Star,Al Nevins
THE THREE SUNS SHOW,Star,Artie Dunn
THE THREE SUNS SHOW,Star,Morty Nevins
THE THREE SUNS SHOW,Announcer,Phil Malcom
THE TIME THE PLACE AND THE TUNE,Announcer,Don Stanley
THE TIME THE PLACE AND THE TUNE,Host,Phil Ohman
THE TOM MIX RALSTON STRAIGHTSHOOTERS,Star,"Joe ""curley"" Bradley"
THE TOMMY DORSEY PLAYSHOP,Host,Tommy Dorsey
THE TOMMY DORSEY PLAYSHOP,Announcer,Tony La Frano
THE VOYAGE OF THE SCARLET QUEEN,Star,Elliott Lewis
THE WAYNE KING SHOW,Announcer,Franklyn Maccormack
THE WAYNE KING SHOW,Host,Wayne King
THE WHISPERER,Star,Carlton Young
THE WINNER,Host,Freddy Martin
THE WINNER,Announcer,Wendell Niles
THE WOODY WOODPECKER SHOW,Star,Mel Blanc
THE WOR SUMMER THEATER,Host,Roger Bower
THE YOUNG IN HEART,Host,Alan Reed
THE ZANE GREY SHOW,Star,Don Maclaughlin
THEATER FIVE,Announcer,Fred Foy
THEATER U.S.A,Host,Alfred Drake
THIRTY MINUTES IN HOLLYWOOD,Host,George Jessel
THIS FABULOUS WORLD,Star,Herb Butterfield
THIS FABULOUS WORLD,Announcer,John Holtman
THIS IS OUR AMERICA,Announcer,True Boardman
THIS IS YOUR FBI,Announcer,Larry Keating
THIS IS YOUR FBI,Star,Stacy Harris
THIS IS YOUR LIFE,Host,Ralph Edwards
THREE OF A KIND,Star,Bert Lahr
THREE OF A KIND,Star,Hanley Stafford
THREE OF A KIND,Star,Ilka Chase
THREE OF A KIND,Announcer,John Brown
THREE PAIRS AND AN ACE,Star,Merle Travis
THREE PAIRS AND AN ACE,Host,Tex Ritter
THREE STRIKES AND YOU'RE OUT,Announcer,Perry Dicky
THREE STRIKES AND YOU'RE OUT,Host,Jimmie Mcclean
TIME FOR LOVE,Announcer,Lee Vines
TIME FOR LOVE,Star,Robert Readick
TIME OUT FOR COMMENT,Star,Howard Rieder
TIME OUT WITH ALLEN PRESCOTT,Star,Allen Prescott
TOO MANY COOKS,Star,Hal March
TOO MANY COOKS,Star,Mary Jane Croft
TOO MANY COOKS,Announcer,Roy Rowan
TOP SECRET,Star,Iona Massey
TOPS IN SPORTS,Host,Harry Wismer
TROMMER'S TROOPERS,Announcer,Dan Seymour
TROMMER'S TROOPERS,Star,Kay Thompson
TROMMER'S TROOPERS,Star,Lou Holtz
TROMMER'S TROOPERS,Star,Ted Husing
TUNE TIME,Star,Charlie Jordan
TUNE TIME,Star,Vera Massey
TUNE UP AMERICA,Host,Betty Jane Rhodes
TURK MURPHY AND HIS DIXIELAND BAND,Announcer,Bob Cummings
TWENTY QUESTIONS,Host,Bill Slater
UNCLE EZRA SHOW,Announcer,Jack Holden
UNCLE JUDGE BEN,Star,Forrest Lewis
UNCLE JUDGE BEN,Star,Peggy Webber
UNCLE JUDGE BEN,Star,William Green
UP FOR PAROLE,Host,Harry Marble
VARIATIONS BY VAN CLEAVE,Star,Nathan Van Cleave
VARIATIONS BY VAN CLEAVE,Announcer,Tom Reddy
VERNON CRANE'S STORYBOOK,Announcer,Dave Roberts
VERNON CRANE'S STORYBOOK,Star,Vernon Crane
VICKS ROMANTIC BACHELOR,Announcer,Louis Dean
VICTOR BORGE SHOW,Star,Benny Goodman And His Orchestra
VICTOR BORGE SHOW,Announcer,Don Wilson
VICTOR BORGE SHOW,Star,Victor Borge
VIOLENCE,Announcer,Clarence Cassell
VIOLENCE,Star,Harry Bartell
VOICES AND EVENTS,Announcer,Robert Warren
WAIKIKI CLUB,Host,Franklyn Bresee
WAKE-UP RANCH,Star,Cliffie Stone
WANTED,Host,Walter Mcgraw
WAR TOWN,Announcer,Jackson Beck
WAYSIDE THEATRE,Star,Olan Soule
WAYSIDE THEATRE,Star,Patricia Dunlap
WE ARE ALWAYS YOUNG,Star,Joe Laurie Jr.
WE ARE ALWAYS YOUNG,Star,Joseph Granby
WE ARE ALWAYS YOUNG,Announcer,Leonard Sterling
WE ARE ALWAYS YOUNG,Star,Pert Kelton
WE ARE ALWAYS YOUNG,Star,William Janney
WHAT'S THE MATTER WITH FATHER,Star,Bob Bentz
WHAT'S THE MATTER WITH FATHER,Star,Jane Morgan
WHAT'S THE MATTER WITH FATHER,Star,Ken Niles
WHITE FIRES OF INSPIRATION,Star,Lurene Tuttle
WHITE FIRES OF INSPIRATION,Star,Ted Osborn
WILD BILL HICKOK,Star,Andy Devine
WILD BILL HICKOK,Star,Barney Phillips
WILD BILL HICKOK,Star,Charlie Lung
WILD BILL HICKOK,Star,Guy Madison
WILD BILL HICKOK,Star,Howard Mcnear
WILD BILL HICKOK,Star,Paul Frees
WILD BILL HICKOK,Star,Ralph Moody
WILD BILL HICKOK,Star,Will Wright
WITCH'S TALE,Star,Miriam Wolfe
WITH BOOK AND PIPE,Host,Francis Phlanter
WOMEN'S PRISON,Star,Ethel Wilson
WORLD'S GREATEST NOVELS,Announcer,Hugh Downs
X MINUS ONE,Announcer,Fred Collins
YAWN PATROL,Star,Johnny Grant
YES OR NO,Host,Fred Uttal
YES OR NO,Announcer,Steve Stran
YOU ARE THE JURY,Star,Jay Jostyn
YOU BET YOUR LIFE,Announcer,George Fenneman
YOU BET YOUR LIFE,Host,Groucho Marx
YOU CAN BE AN ACTOR,Announcer,Bill Aaron
YOU CAN BE AN ACTOR,Host,Lee Giroux
YOU'RE ONLY YOUNG ONCE,Host,Herold Ismel
YOUNG LOVE,Star,Janet Waldo
YOUNG LOVE,Star,Jerry Housner
YOUNG LOVE,Star,Jimmy Lydon
YOUNG LOVE,Star,John Houston
YOUNG LOVE,Announcer,Larry Thor
YOUR CROSSWORD QUIZ,Host,David Gillmore
YOUR DAYTIME RADIO NEWSPAPER,Star,Bernadine Flynn
YOUR DAYTIME RADIO NEWSPAPER,Star,Durward Kirby
YOUR HIT PARADE,Star,Frank Sinatra
YOUR PREVIEW THEATER OF THE AIR,Star,Clifton Young
YOUR PREVIEW THEATER OF THE AIR,Star,George O'hanlon
YOUR PREVIEW THEATER OF THE AIR,Star,Marcie Mcguire
YOUR QUARTER HOUR SERENADE,Star,Berry Mckinnly
YOUR QUARTER HOUR SERENADE,Star,John Garth
YOUR RADIO ALMANAC,Star,Agnes Moorehead
YOUR RADIO ALMANAC,Star,Hans Conreid
YOUR RADIO ALMANAC,Star,John Brown
YOUR RADIO ALMANAC,Star,John Mcintire
YOUR RADIO ALMANAC,Host,Orson Welles
YOUR RADIO ALMANAC,Star,Walter Tetley
YOUR STAR TIME,Host,Hy Averback
YOUR STORY PARADE,Star,John Arlen
ZERO HOUR,Host,Rod Serling
